time,arm_x_y_error
0.613000,0.000050
0.614000,0.000051
0.615000,0.000051
0.616000,0.000051
0.617000,0.000051
0.618000,0.000052
0.619000,0.000052
0.620000,0.000052
0.621000,0.000052
0.622000,0.000052
0.623000,0.000053
0.624000,0.000053
0.625000,0.000053
0.626000,0.000053
0.627000,0.000053
0.628000,0.000054
0.629000,0.000054
0.630000,0.000054
0.631000,0.000054
0.632000,0.000055
0.633000,0.000055
0.634000,0.000055
0.635000,0.000055
0.636000,0.000055
0.637000,0.000056
0.638000,0.000056
0.639000,0.000056
0.640000,0.000056
0.641000,0.000056
0.642000,0.000057
0.643000,0.000057
0.644000,0.000057
0.645000,0.000057
0.646000,0.000057
0.647000,0.000058
0.648000,0.000058
0.649000,0.000058
0.650000,0.000058
0.651000,0.000058
0.652000,0.000059
0.653000,0.000059
0.654000,0.000059
0.655000,0.000059
0.656000,0.000059
0.657000,0.000060
0.658000,0.000060
0.659000,0.000060
0.660000,0.000060
0.661000,0.000060
0.662000,0.000060
0.663000,0.000061
0.664000,0.000061
0.665000,0.000061
0.666000,0.000061
0.667000,0.000061
0.668000,0.000062
0.669000,0.000062
0.670000,0.000062
0.671000,0.000062
0.672000,0.000062
0.673000,0.000062
0.674000,0.000063
0.675000,0.000063
0.676000,0.000063
0.677000,0.000063
0.678000,0.000063
0.679000,0.000063
0.680000,0.000064
0.681000,0.000064
0.682000,0.000064
0.683000,0.000064
0.684000,0.000064
0.685000,0.000064
0.686000,0.000065
0.687000,0.000065
0.688000,0.000065
0.689000,0.000065
0.690000,0.000065
0.691000,0.000065
0.692000,0.000066
0.693000,0.000066
0.694000,0.000066
0.695000,0.000066
0.696000,0.000066
0.697000,0.000066
0.698000,0.000067
0.699000,0.000067
0.700000,0.000067
0.701000,0.000067
0.702000,0.000067
0.703000,0.000067
0.704000,0.000067
0.705000,0.000068
0.706000,0.000068
0.707000,0.000068
0.708000,0.000068
0.709000,0.000068
0.710000,0.000068
0.711000,0.000068
0.712000,0.000069
0.713000,0.000069
0.714000,0.000069
0.715000,0.000069
0.716000,0.000069
0.717000,0.000069
0.718000,0.000069
0.719000,0.000070
0.720000,0.000070
0.721000,0.000070
0.722000,0.000070
0.723000,0.000070
0.724000,0.000070
0.725000,0.000070
0.726000,0.000071
0.727000,0.000071
0.728000,0.000071
0.729000,0.000071
0.730000,0.000071
0.731000,0.000071
0.732000,0.000071
0.733000,0.000071
0.734000,0.000072
0.735000,0.000072
0.736000,0.000072
0.737000,0.000072
0.738000,0.000072
0.739000,0.000072
0.740000,0.000072
0.741000,0.000072
0.742000,0.000073
0.743000,0.000073
0.744000,0.000073
0.745000,0.000073
0.746000,0.000073
0.747000,0.000073
0.748000,0.000073
0.749000,0.000073
0.750000,0.000073
0.751000,0.000074
0.752000,0.000074
0.753000,0.000074
0.754000,0.000074
0.755000,0.000074
0.756000,0.000074
0.757000,0.000074
0.758000,0.000074
0.759000,0.000074
0.760000,0.000075
0.761000,0.000075
0.762000,0.000075
0.763000,0.000075
0.764000,0.000075
0.765000,0.000075
0.766000,0.000075
0.767000,0.000075
0.768000,0.000075
0.769000,0.000076
0.770000,0.000076
0.771000,0.000076
0.772000,0.000076
0.773000,0.000076
0.774000,0.000076
0.775000,0.000076
0.776000,0.000076
0.777000,0.000076
0.778000,0.000076
0.779000,0.000077
0.780000,0.000077
0.781000,0.000077
0.782000,0.000077
0.783000,0.000077
0.784000,0.000077
0.785000,0.000077
0.786000,0.000077
0.787000,0.000077
0.788000,0.000077
0.789000,0.000078
0.790000,0.000078
0.791000,0.000078
0.792000,0.000078
0.793000,0.000078
0.794000,0.000078
0.795000,0.000078
0.796000,0.000078
0.797000,0.000078
0.798000,0.000078
0.799000,0.000078
0.800000,0.000078
0.801000,0.000079
0.802000,0.000079
0.803000,0.000079
0.804000,0.000079
0.805000,0.000079
0.806000,0.000079
0.807000,0.000079
0.808000,0.000079
0.809000,0.000079
0.810000,0.000079
0.811000,0.000079
0.812000,0.000080
0.813000,0.000080
0.814000,0.000080
0.815000,0.000080
0.816000,0.000080
0.817000,0.000080
0.818000,0.000080
0.819000,0.000080
0.820000,0.000080
0.821000,0.000080
0.822000,0.000080
0.823000,0.000080
0.824000,0.000080
0.825000,0.000081
0.826000,0.000081
0.827000,0.000081
0.828000,0.000081
0.829000,0.000081
0.830000,0.000081
0.831000,0.000081
0.832000,0.000081
0.833000,0.000081
0.834000,0.000081
0.835000,0.000081
0.836000,0.000081
0.837000,0.000081
0.838000,0.000081
0.839000,0.000082
0.840000,0.000082
0.841000,0.000082
0.842000,0.000082
0.843000,0.000082
0.844000,0.000082
0.845000,0.000082
0.846000,0.000082
0.847000,0.000082
0.848000,0.000082
0.849000,0.000082
0.850000,0.000082
0.851000,0.000082
0.852000,0.000082
0.853000,0.000082
0.854000,0.000083
0.855000,0.000083
0.856000,0.000083
0.857000,0.000083
0.858000,0.000083
0.859000,0.000083
0.860000,0.000083
0.861000,0.000083
0.862000,0.000083
0.863000,0.000083
0.864000,0.000083
0.865000,0.000083
0.866000,0.000083
0.867000,0.000083
0.868000,0.000083
